sample_id,ablation,label,delta_dice
sample_0240,w/o query-canonical reliability,No reliability,0.00982026959001836
sample_0248,w/o query-canonical reliability,No reliability,0.06156863456916584
sample_0260,w/o query-canonical reliability,No reliability,-0.18047224325602385
sample_0276,w/o query-canonical reliability,No reliability,0.02241264359041295
sample_0280,w/o query-canonical reliability,No reliability,0.18966220039668458
sample_0290,w/o query-canonical reliability,No reliability,0.005089323778891153
sample_0297,w/o query-canonical reliability,No reliability,-0.05753661036525792
sample_0300,w/o query-canonical reliability,No reliability,0.03348298834928354
sample_0308,w/o query-canonical reliability,No reliability,0.04620413814467261
sample_0322,w/o query-canonical reliability,No reliability,0.09956577248292275
sample_0328,w/o query-canonical reliability,No reliability,0.03072171809028368
sample_0335,w/o query-canonical reliability,No reliability,-0.08890033765433647
sample_0347,w/o query-canonical reliability,No reliability,-0.16839652015810053
sample_0350,w/o query-canonical reliability,No reliability,0.0221303174475862
sample_0378,w/o query-canonical reliability,No reliability,0.0533047952752832
sample_0382,w/o query-canonical reliability,No reliability,0.010157549476271677
sample_0386,w/o query-canonical reliability,No reliability,0.013446979668521264
sample_0396,w/o query-canonical reliability,No reliability,-0.04117768435596769
sample_0397,w/o query-canonical reliability,No reliability,-0.14226852980541638
sample_0401,w/o query-canonical reliability,No reliability,0.01523421212994791
sample_0409,w/o query-canonical reliability,No reliability,0.16141910754272926
sample_0418,w/o query-canonical reliability,No reliability,0.10264937196500284
sample_0436,w/o query-canonical reliability,No reliability,0.06864808891293539
sample_0438,w/o query-canonical reliability,No reliability,-0.060064358906852244
sample_0447,w/o query-canonical reliability,No reliability,0.025980768635832874
sample_0449,w/o query-canonical reliability,No reliability,-0.008161826280456141
sample_0456,w/o query-canonical reliability,No reliability,-0.0004071103266000131
sample_0458,w/o query-canonical reliability,No reliability,0.04499951028185023
sample_0469,w/o query-canonical reliability,No reliability,0.05128532390391127
sample_0472,w/o query-canonical reliability,No reliability,-0.022143422762071374
sample_0473,w/o query-canonical reliability,No reliability,0.04033459371341763
sample_0511,w/o query-canonical reliability,No reliability,-0.023494977510473247
sample_0521,w/o query-canonical reliability,No reliability,0.039486262138032524
sample_0525,w/o query-canonical reliability,No reliability,0.035047446072195454
sample_0535,w/o query-canonical reliability,No reliability,-0.0033363765235878695
sample_0536,w/o query-canonical reliability,No reliability,0.017498177990376895
sample_0541,w/o query-canonical reliability,No reliability,0.053660881642259906
sample_0566,w/o query-canonical reliability,No reliability,0.06802718405128494
sample_0585,w/o query-canonical reliability,No reliability,-0.20933013654013488
sample_0603,w/o query-canonical reliability,No reliability,0.07878100894949269
sample_0610,w/o query-canonical reliability,No reliability,0.1328283439326179
sample_0626,w/o query-canonical reliability,No reliability,-0.0045452800000281846
sample_0633,w/o query-canonical reliability,No reliability,0.08581369092869318
sample_0646,w/o query-canonical reliability,No reliability,0.06360364119072226
sample_0647,w/o query-canonical reliability,No reliability,0.03758220096739262
sample_0652,w/o query-canonical reliability,No reliability,-0.021696769107011793
sample_0661,w/o query-canonical reliability,No reliability,0.16054632035145344
sample_0666,w/o query-canonical reliability,No reliability,0.2769076356602508
sample_0674,w/o query-canonical reliability,No reliability,0.11424072145431652
sample_0676,w/o query-canonical reliability,No reliability,0.008875760177709413
sample_0681,w/o query-canonical reliability,No reliability,0.07128274112276067
sample_0712,w/o query-canonical reliability,No reliability,0.19720888714483487
sample_0751,w/o query-canonical reliability,No reliability,0.037304165202619366
sample_0761,w/o query-canonical reliability,No reliability,0.07309140953204207
sample_0777,w/o query-canonical reliability,No reliability,0.03482683400246411
sample_0778,w/o query-canonical reliability,No reliability,-0.018691366068826376
sample_0791,w/o query-canonical reliability,No reliability,0.084006580160078
sample_0796,w/o query-canonical reliability,No reliability,0.0827283227796809
sample_0807,w/o query-canonical reliability,No reliability,0.1672836647052135
