sample_id,num_foci,depth_tier,source_type_x,shape_set_x,gt_component_count,pred_component_count,matched_component_count,missed_component_count,false_component_count,merge_count,split_count,component_recall,component_precision,mean_matched_iou,small_component_recall,method,dice,precision,recall,success,number_of_sources,minimum_inter_source_distance_mm,weak_to_dominant_intensity_ratio,source_centers_mm,source_intensities,shape_set_y,source_type_y
sample_1259,2,deep,uniform,irregular+sphere,2,2,2,0,0,0,0,1.0,1.0,0.4959514572356064,,w/o source-relative query cue,0.6733303044072361,0.5098039215689647,0.9913043478260986,True,2,15.942396306703706,0.7784204569611174,"[[19.8, 22.0, 6.800000000000001], [11.200000000000001, 35.4, 7.6000000000000005]]","[1.009748734685939, 1.2971765138700313]",,uniform
sample_1262,1,shallow,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.5699009900990099,,w/o source-relative query cue,0.7260343087792415,0.5796965220899963,0.971203599550121,True,1,,1.0,"[[15.8, 20.400000000000002, 9.0]]",[1.4004519630697825],,uniform
sample_1266,2,medium,uniform,ellipsoid+sphere,2,2,2,0,0,0,0,1.0,1.0,0.2682265104628062,,w/o source-relative query cue,0.4298953149138236,0.2788911155652651,0.937500000000234,True,2,8.260750571225355,0.5048381155286213,"[[25.400000000000002, 32.0, 13.4], [20.0, 32.800000000000004, 7.2]]","[1.6167091789050012, 0.8161764152362255]",,uniform
sample_1276,1,deep,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.7058246715042165,,w/o source-relative query cue,0.8275465624283426,0.7165040812269231,0.9793197278912128,True,1,,1.0,"[[6.2, 22.8, 11.0]]",[1.230667272405725],,uniform
sample_1285,2,medium,uniform,irregular+sphere,2,2,2,0,0,0,0,1.0,1.0,0.566104073284794,,w/o source-relative query cue,0.7358823945157001,0.5919272313819307,0.9723571161748742,True,2,14.051334456200237,0.8410111329475862,"[[27.6, 33.0, 10.600000000000001], [16.8, 25.400000000000002, 5.800000000000001]]","[0.6439873384768035, 0.7657298616485]",,uniform
sample_1286,1,medium,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.7372574978359387,,w/o source-relative query cue,0.8487264413635875,0.9889344262295158,0.7433382964523575,True,1,,1.0,"[[28.200000000000003, 32.0, 8.200000000000001]]",[1.1477152911044963],,uniform
sample_1288,1,shallow,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.4352038369304556,,w/o source-relative query cue,0.6065913496894133,0.4357053682901798,0.9980202375714958,True,1,,1.0,"[[9.200000000000001, 27.8, 5.2]]",[0.8860317384906653],,uniform
sample_1292,1,deep,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.6755652410787252,,w/o source-relative query cue,0.806308259267393,0.7065248361670562,0.9389120282721962,True,1,,1.0,"[[12.200000000000001, 26.6, 8.200000000000001]]",[0.777221002456576],,uniform
sample_1319,1,medium,uniform,ellipsoid,1,1,1,0,0,0,0,1.0,1.0,0.4827052713006962,,w/o source-relative query cue,0.6511627906979345,0.4827586206902268,1.0,True,1,,1.0,"[[18.6, 34.6, 9.200000000000001]]",[1.7261077533595919],,uniform
sample_1327,3,shallow,uniform,ellipsoid+irregular+sphere,3,3,3,0,0,0,0,1.0,1.0,0.5514927298637072,,w/o source-relative query cue,0.7894278877529587,0.851944596603919,0.7354590285754675,True,3,8.430895563343197,0.6339124810108131,"[[14.4, 31.0, 4.2], [29.0, 24.6, 7.800000000000001], [10.4, 32.800000000000004, 11.4]]","[1.521793471007765, 0.9646838747925892, 1.459696350782369]",,uniform
sample_1328,1,medium,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.4715782242830156,,w/o source-relative query cue,0.6409897292252329,0.4737341499185079,0.9907992062060422,True,1,,1.0,"[[12.0, 23.200000000000003, 9.0]]",[1.597827059725827],,uniform
sample_1366,2,shallow,uniform,sphere,2,2,2,0,0,0,0,1.0,1.0,0.3169429976419184,,w/o source-relative query cue,0.4658771822735527,0.3036765876179343,1.0,True,2,10.488088481701517,0.8686947261481086,"[[22.6, 33.2, 10.4], [12.4, 35.2, 11.8]]","[0.759994332709831, 0.8748692835741416]",,uniform
sample_1372,2,shallow,uniform,ellipsoid+irregular,2,2,2,0,0,0,0,1.0,1.0,0.3698157151273979,,w/o source-relative query cue,0.6379456307030026,0.5057419835950697,0.8637289862458897,True,2,15.67801007781281,0.806728720172337,"[[6.0, 29.0, 7.0], [21.200000000000003, 26.0, 4.6000000000000005]]","[1.01110421598755, 0.8156868101244905]",,uniform
sample_1378,3,shallow,uniform,ellipsoid+irregular+sphere,3,2,2,1,0,1,0,0.6666666666666666,1.0,0.3770799414086169,,w/o source-relative query cue,0.6440247003270454,0.6104531056331012,0.6815036900371453,False,3,7.161005515987264,0.8380373033091514,"[[19.0, 30.6, 5.0], [6.6000000000000005, 33.2, 4.800000000000001], [21.400000000000002, 32.0, 11.600000000000001]]","[0.9565794956114724, 1.141452166668756, 0.9821087853640864]",,uniform
sample_1384,2,shallow,uniform,irregular+sphere,2,2,2,0,0,0,0,1.0,1.0,0.396224486053639,,w/o source-relative query cue,0.5835996977976501,0.4158866893072012,0.9779898714453096,True,2,7.28285658241325,0.5956003137356721,"[[23.8, 28.400000000000002, 8.0], [16.8, 26.400000000000002, 7.800000000000001]]","[0.7654708243205687, 1.2852089004444098]",,uniform
sample_1389,2,medium,uniform,ellipsoid+irregular,2,1,1,1,0,1,0,0.5,1.0,0.4001367053998633,,w/o source-relative query cue,0.7579427190598463,0.7778278757821238,0.7390489450574387,False,2,7.318469785412796,0.7133893693654707,"[[25.200000000000003, 31.400000000000002, 8.0], [18.6, 33.2, 5.4]]","[1.606845559928217, 1.1463065406648973]",,uniform
sample_1404,3,shallow,uniform,ellipsoid+irregular,3,3,3,0,0,0,0,1.0,1.0,0.6142336973332481,,w/o source-relative query cue,0.7523781695400305,0.8647014925374145,0.6658812711915029,True,3,6.770524351924305,0.8538942715839237,"[[24.200000000000003, 30.200000000000003, 10.600000000000001], [8.0, 31.8, 10.8], [20.400000000000002, 35.800000000000004, 10.4]]","[1.154666689371325, 1.3404067503673502, 1.3522361348431184]",,uniform
sample_1429,2,shallow,uniform,irregular,2,2,2,0,0,0,0,1.0,1.0,0.6906209594228342,,w/o source-relative query cue,0.8459026431269283,0.8271629577888163,0.8655111203927477,True,2,15.02797391533536,0.9463119907101398,"[[14.200000000000001, 24.6, 5.800000000000001], [27.6, 31.400000000000002, 5.6000000000000005]]","[1.5433148980082683, 1.4604573934268208]",,uniform
sample_1432,2,medium,uniform,sphere,2,1,1,1,0,0,0,0.5,1.0,0.8212708773277021,,w/o source-relative query cue,0.8524459499852023,0.8439534424938964,0.8611111111113907,False,2,4.054626986542656,0.8730211389899424,"[[11.4, 35.0, 6.6000000000000005], [10.0, 31.200000000000003, 6.800000000000001]]","[1.0049153915870448, 0.8773123797518458]",,uniform
sample_1438,1,deep,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.410958904109589,,w/o source-relative query cue,0.5826112936964706,0.4142766093065343,0.9813789632612916,True,1,,1.0,"[[16.2, 22.8, 15.200000000000001]]",[1.7946110254679417],,uniform
sample_1455,2,shallow,uniform,ellipsoid,2,1,1,1,0,1,0,0.5,1.0,0.5028824239174152,,w/o source-relative query cue,0.7220759993421113,0.68650297153606,0.7615371269953491,False,2,5.6178287620752565,0.6019996244972017,"[[14.8, 28.6, 4.2], [9.8, 30.200000000000003, 6.2]]","[1.01942864898382, 1.693404127677423]",,uniform
