sample_id,comparison,num_foci,delta_dice,delta_component_recall,delta_merge_count,ssq_dice,ablation_dice,ssq_merge_count,ablation_merge_count
sample_1081,w/o transport-aware footprint,2,-0.06015601488058597,0.0,0.0,0.723182894453712,0.783338909334298,0.0,0.0
sample_1085,w/o transport-aware footprint,2,0.03602564278267684,0.0,0.0,0.8819432041436324,0.8459175613609555,0.0,0.0
sample_1086,w/o transport-aware footprint,2,0.09920235777952169,0.0,0.0,0.8466593647317738,0.7474570069522521,0.0,0.0
sample_1092,w/o transport-aware footprint,3,0.010793582699604176,0.0,0.0,0.6406148234989186,0.6298212407993145,0.0,0.0
sample_1093,w/o transport-aware footprint,2,0.04820706563902111,0.0,0.0,0.9117365625103404,0.8635294968713193,0.0,0.0
sample_1096,w/o transport-aware footprint,2,0.07863894368446267,0.0,0.0,0.7113241113895685,0.6326851677051059,0.0,0.0
sample_1112,w/o transport-aware footprint,3,0.03776240023536914,0.0,0.0,0.7184685793023382,0.6807061790669691,0.0,0.0
sample_1126,w/o transport-aware footprint,1,0.09833321982676224,0.0,0.0,0.7566737084696017,0.6583404886428394,0.0,0.0
sample_1133,w/o transport-aware footprint,1,0.06373410570048532,0.0,0.0,0.899694306457872,0.8359602007573866,0.0,0.0
sample_1135,w/o transport-aware footprint,3,0.04280106337774403,0.0,0.0,0.7228608774341513,0.6800598140564073,0.0,0.0
sample_1139,w/o transport-aware footprint,1,0.06477203196679016,0.0,0.0,0.5655764783617727,0.5008044463949826,0.0,0.0
sample_1167,w/o transport-aware footprint,2,0.1215358186111184,0.0,0.0,0.8927238805970705,0.7711880619859521,0.0,0.0
sample_1175,w/o transport-aware footprint,1,0.06697957373590324,0.0,0.0,0.8828410814670449,0.8158615077311416,0.0,0.0
sample_1185,w/o transport-aware footprint,2,0.012375274215700505,0.0,0.0,0.518623457883526,0.5062481836678255,0.0,0.0
sample_1211,w/o transport-aware footprint,1,0.20498888976834884,0.0,0.0,0.8792678074016083,0.6742789176332594,0.0,0.0
sample_1215,w/o transport-aware footprint,2,0.05462597186437168,0.0,0.0,0.8664596273292349,0.8118336554648632,0.0,0.0
sample_1230,w/o transport-aware footprint,3,0.08937619914252393,0.0,0.0,0.6358375582528623,0.5464613591103383,0.0,0.0
sample_1244,w/o transport-aware footprint,1,0.06203928985654794,0.0,0.0,0.8827186781365448,0.8206793882799969,0.0,0.0
sample_1259,w/o transport-aware footprint,2,-0.014232295146469176,0.0,0.0,0.6933345737012451,0.7075668688477142,0.0,0.0
sample_1262,w/o transport-aware footprint,1,0.12024014958578111,0.0,0.0,0.7708315269229421,0.650591377337161,0.0,0.0
sample_1266,w/o transport-aware footprint,2,0.1577946217818641,0.0,0.0,0.6041372825580581,0.446342660776194,0.0,0.0
sample_1276,w/o transport-aware footprint,1,0.1211326123153863,0.0,0.0,0.9100893997446868,0.7889567874293005,0.0,0.0
sample_1285,w/o transport-aware footprint,2,-0.03287531177842895,0.0,0.0,0.6421974331296376,0.6750727449080666,0.0,0.0
sample_1286,w/o transport-aware footprint,1,-0.07648657629863831,0.0,0.0,0.7120515787734462,0.7885381550720845,0.0,0.0
sample_1288,w/o transport-aware footprint,1,0.07538261494185061,0.0,0.0,0.6467031794582497,0.5713205645163991,0.0,0.0
sample_1292,w/o transport-aware footprint,1,-0.006684536545083275,0.0,0.0,0.7783484788622194,0.7850330154073026,0.0,0.0
sample_1319,w/o transport-aware footprint,1,0.08297107286668504,0.0,0.0,0.6716899892359898,0.5887189163693047,0.0,0.0
