sample_id,num_foci,depth_tier,source_type,shape_set,gt_component_count,pred_component_count,matched_component_count,missed_component_count,false_component_count,merge_count,split_count,component_recall,component_precision,mean_matched_iou,small_component_recall,method
sample_0960,1,medium,uniform,ellipsoid,1,1,1,0,0,0,0,1.0,1.0,0.896780303030303,,SSQ-FMT
sample_0974,2,medium,uniform,ellipsoid+sphere,2,2,2,0,0,0,0,1.0,1.0,0.6056420586756489,,SSQ-FMT
sample_0977,3,shallow,uniform,ellipsoid+sphere,3,2,2,1,0,0,0,0.6666666666666666,1.0,0.7020357410875961,,SSQ-FMT
sample_0979,1,medium,uniform,sphere,1,1,1,0,0,0,0,1.0,1.0,0.7122360584731998,,SSQ-FMT
sample_1000,3,medium,uniform,irregular+sphere,3,2,2,1,0,0,0,0.6666666666666666,1.0,0.6780024984929506,,SSQ-FMT
sample_1002,2,deep,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.4604487073479962,,SSQ-FMT
sample_1003,3,medium,uniform,ellipsoid+sphere,3,2,2,1,0,1,0,0.6666666666666666,1.0,0.6430922383239841,,SSQ-FMT
sample_1015,3,medium,uniform,ellipsoid+irregular,3,2,2,1,0,1,0,0.6666666666666666,1.0,0.6244920832790076,,SSQ-FMT
sample_1018,1,medium,uniform,ellipsoid,1,1,1,0,0,0,0,1.0,1.0,0.751908908238446,,SSQ-FMT
sample_1028,2,shallow,uniform,ellipsoid+sphere,2,2,2,0,0,0,0,1.0,1.0,0.4607526556859035,,SSQ-FMT
sample_1068,3,shallow,uniform,ellipsoid+irregular+sphere,3,2,2,1,0,0,0,0.6666666666666666,1.0,0.4360539013338769,,SSQ-FMT
sample_1069,3,shallow,uniform,ellipsoid+sphere,3,3,3,0,0,0,0,1.0,1.0,0.3824857726122663,,SSQ-FMT
sample_1072,3,medium,uniform,ellipsoid+irregular,3,2,2,1,0,1,0,0.6666666666666666,1.0,0.2862687147579233,,SSQ-FMT
sample_1078,2,medium,uniform,irregular+sphere,2,2,2,0,0,0,0,1.0,1.0,0.6094614468133988,,SSQ-FMT
sample_1081,2,shallow,uniform,ellipsoid+sphere,1,2,1,0,1,0,1,1.0,0.5,0.3900575793854398,,SSQ-FMT
sample_1085,2,medium,uniform,irregular,2,2,2,0,0,0,0,1.0,1.0,0.7866150507301092,,SSQ-FMT
sample_1086,2,deep,uniform,irregular+sphere,2,2,2,0,0,0,0,1.0,1.0,0.6216033750218879,,SSQ-FMT
sample_1092,3,deep,uniform,ellipsoid+irregular+sphere,3,3,3,0,0,0,0,1.0,1.0,0.4858075720094357,,SSQ-FMT
sample_1093,2,deep,uniform,ellipsoid+sphere,2,2,2,0,0,0,0,1.0,1.0,0.8449277980848078,,SSQ-FMT
sample_1096,2,shallow,uniform,ellipsoid+irregular,2,2,2,0,0,0,0,1.0,1.0,0.559456516734537,,SSQ-FMT
sample_1112,3,medium,uniform,ellipsoid+irregular+sphere,3,2,2,1,0,0,0,0.6666666666666666,1.0,0.6928847023909337,,SSQ-FMT
sample_1126,1,medium,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.6085881989496448,,SSQ-FMT
sample_1133,1,shallow,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.817676679979163,,SSQ-FMT
sample_1135,3,deep,uniform,irregular+sphere,2,2,2,0,0,0,0,1.0,1.0,0.5844361411064231,,SSQ-FMT
sample_1139,1,medium,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.3942883463841548,,SSQ-FMT
sample_1167,2,medium,uniform,ellipsoid+sphere,2,2,2,0,0,0,0,1.0,1.0,0.7720918665340293,,SSQ-FMT
sample_1175,1,deep,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.7904153354632588,,SSQ-FMT
sample_1185,2,medium,uniform,ellipsoid+irregular,2,2,2,0,0,0,0,1.0,1.0,0.3481654423317712,,SSQ-FMT
sample_1211,1,medium,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.7845476494816077,,SSQ-FMT
sample_1215,2,shallow,uniform,ellipsoid+sphere,2,2,2,0,0,0,0,1.0,1.0,0.4250032837195319,,SSQ-FMT
sample_1230,3,deep,uniform,ellipsoid+sphere,3,3,3,0,0,0,0,1.0,1.0,0.4973316856848306,,SSQ-FMT
sample_1244,1,shallow,uniform,sphere,1,1,1,0,0,0,0,1.0,1.0,0.7900594602835798,,SSQ-FMT
sample_1259,2,deep,uniform,irregular+sphere,2,2,2,0,0,0,0,1.0,1.0,0.5438665663078083,,SSQ-FMT
sample_1262,1,shallow,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.6270277895330795,,SSQ-FMT
sample_1266,2,medium,uniform,ellipsoid+sphere,2,2,2,0,0,0,0,1.0,1.0,0.4615708220895299,,SSQ-FMT
