sample_id,number_of_sources,minimum_inter_source_distance_mm,weak_to_dominant_intensity_ratio,minimum_source_volume,shape_set,source_type,metadata_missing
sample_2614,3,12.504399225872472,0.7058631577808646,1064.0,,uniform,False
sample_2643,1,,1.0,16752.0,,uniform,False
sample_2650,3,11.803389343743602,0.474045818272544,1224.0,,uniform,False
sample_2655,1,,1.0,5040.0,,uniform,False
sample_2676,3,7.984985911070852,0.5186445584447641,1472.0,,uniform,False
sample_2682,2,12.796874618437114,0.7473162113671269,3081.0,,uniform,False
sample_2684,3,8.260750571225357,0.7182451389144682,2459.0,,uniform,False
sample_2698,2,14.97464523786791,0.682784449003112,5728.0,,uniform,False
sample_2702,2,11.095945205344158,0.34728070044301773,1184.0,,uniform,False
sample_2711,3,7.0823724838503095,0.7637034517445336,2360.0,,uniform,False
sample_2719,1,,1.0,8840.0,,uniform,False
sample_2741,3,7.8204859184068605,0.6661423674744077,800.0,,uniform,False
sample_2745,2,16.70449041425688,0.6627060517469979,2022.0,,uniform,False
sample_2747,2,11.649892703368558,0.5104570300145019,5616.0,,uniform,False
sample_2751,2,12.014990636700473,0.7769923590898792,2272.0,,uniform,False
sample_2759,1,,1.0,10055.0,,uniform,False
sample_2769,3,5.986651818838307,0.36383801626970225,624.0,,uniform,False
sample_2771,1,,1.0,19480.0,,uniform,False
sample_2784,1,,1.0,4632.0,,uniform,False
sample_2799,3,5.3404119691274765,0.492952028010857,432.0,,uniform,False
sample_2804,2,13.056798995159573,0.4763147602099538,2176.0,,uniform,False
sample_2833,3,4.967896939349688,0.671006650800728,1064.0,,uniform,False
sample_2844,2,11.694443124834976,0.8416627704434195,4744.0,,uniform,False
sample_2850,3,5.051732376126036,0.5250410669393165,5792.0,,uniform,False
sample_2872,1,,1.0,6256.0,,uniform,False
sample_2873,2,21.723719755143225,0.6321625876787,420.0,,uniform,False
sample_2874,1,,1.0,4657.0,,uniform,False
sample_2887,2,14.330387294138287,0.47945054893229655,9078.0,,uniform,False
