sample_id,num_foci,depth_tier,source_type,shape_set,shape_class,has_sphere,has_ellipsoid,has_irregular,dice,iou,precision,recall,nrmse,psnr,ssim,cle,ple,cnr,flops_g,volume_error,assd,hd95,inference_time_ms,peak_gpu_memory_mb,pred_positive_count,gt_positive_count,method
sample_0347,2,deep,uniform,ellipsoid+irregular,mixed_two_shape,0,1,1,0.4745248685812024,0.3110669317437892,0.4398425787116944,0.5151448639167797,0.0286348480731248,30.862101820075203,0.9941286472339196,0.9759445691298334,4.180908992073375,1.0605489919303883,,0.1712028094820017,0.9788270786985004,3.304239436977784,3271.3107130039134,3735.3515625,5336,4556,SSQ-FMT
sample_0350,3,shallow,uniform,sphere,sphere,1,0,0,0.5609278269731518,0.3897843607063931,0.4231997162121044,0.8315520446100568,0.0305575970560312,30.29761589633577,0.9920908123563948,3.398009060576311,17.14409519338947,2.632548550046582,,0.9649163568773236,0.4489338190562343,1.50996688705415,3283.274109999184,3734.1640625,8457,4304,SSQ-FMT
sample_0378,2,deep,uniform,ellipsoid+sphere,mixed_two_shape,1,1,0,0.7811087538051005,0.6408354775241102,0.8710141946102952,0.7080267558530869,0.0245689768344163,32.192258541623275,0.9936631391187136,0.2114663693184665,2.7568097504180447,1.813659403361959,,0.187123745819398,0.2538323789740032,0.692820323027551,3282.4628710004617,3735.1015625,9722,11960,SSQ-FMT
sample_0382,2,shallow,uniform,irregular+sphere,mixed_two_shape,1,0,1,0.7159985683610272,0.5576306620215224,0.5643159379413761,0.9791972589329928,0.0258207954466342,31.76060786715765,0.9949016573474498,0.6747768370442255,0.5656854249492381,7.000350439433593,,0.7351933431228586,0.2660483711127637,0.632455532033676,3266.7508809972787,3734.6015625,7090,4086,SSQ-FMT
sample_0386,3,deep,uniform,irregular+sphere,mixed_two_shape,1,0,1,0.6096795095451281,0.4385172438521269,0.5906325446648086,0.6299958796872372,0.0320529900491237,29.88262914983737,0.9885423059683932,2.112073087850823,0.4,1.7466771890282229,,0.0666460651009476,0.4588504764546961,1.5231546211727818,3489.0365510000265,3734.9765625,10355,9708,SSQ-FMT
sample_0396,3,deep,uniform,ellipsoid,ellipsoid,0,1,0,0.6443109632255978,0.4752645671302593,0.702970297029983,0.5946873005746691,0.0311942528933286,30.11850806331494,0.9907433669731132,1.1132317369345917,3.249615361854384,1.2829723970966036,,0.1540363752393108,0.6554813298859591,3.2802438933713454,3425.5336089991038,3735.3515625,10605,12536,SSQ-FMT
sample_0397,3,medium,uniform,ellipsoid,ellipsoid,0,1,0,0.6243704993647929,0.4538798412484919,0.935939043318843,0.4684322033902058,0.0306716002523899,30.265271247366705,0.9913472043367594,0.3892953942895872,5.1536394906900505,1.0426295668539836,,0.4995056497175141,0.5542969842258568,1.019803902718557,3430.5472360065323,3734.1640625,7087,14160,SSQ-FMT
sample_0401,3,deep,uniform,irregular+sphere,mixed_two_shape,1,0,1,0.6808043875686854,0.5160753880269057,0.5228052661137313,0.9756637168141876,0.0349424853920936,29.13292398615576,0.9866903494665982,1.4860414368474144,10.194115949899729,5.221339790579541,,0.866208663251048,0.3789691176243846,0.8485281374238571,3363.867845997447,3735.1015625,16027,8588,SSQ-FMT
sample_0409,2,medium,uniform,irregular+sphere,mixed_two_shape,1,0,1,0.6902909447533898,0.5270567092656478,0.5359935018788343,0.9693352919574564,0.0286531616002321,30.85654882219188,0.9930801657707056,0.8721949429200857,3.560898762952972,6.886318411903753,,0.8084832904884319,0.3621582676435715,1.0,3378.3194860006915,3734.6015625,9849,5446,SSQ-FMT
sample_0418,3,medium,uniform,ellipsoid+sphere,mixed_two_shape,1,1,0,0.5280833815870217,0.3587726199851052,0.3934426229516919,0.8028169014090293,0.0281520411372184,31.009802168997407,0.993020593017996,0.6329349592483873,14.67787450552702,1.943138128382102,,1.0404929577464788,0.5203860241538661,1.4696938456699071,3308.2476389972726,3734.9765625,6954,3408,SSQ-FMT
sample_0436,2,medium,uniform,irregular,irregular,0,0,1,0.4684916963680378,0.3059021588440226,0.3059021588440226,1.0,0.038916178047657,28.197396434645363,0.991849116444858,0.6210630938695604,1.5231546211727818,16.278861701657128,,2.2690191000323727,0.5843665345312448,0.916515138991168,3293.1237390002934,3735.3515625,10098,3089,SSQ-FMT
sample_0438,2,shallow,uniform,ellipsoid+sphere,mixed_two_shape,1,1,0,0.6175514626221441,0.4467084639503852,0.4777870913668505,0.8728943338440411,0.0334345921874046,29.516079586864148,0.9924090779733252,1.092269927757994,8.97997772825746,2.9475398685888403,,0.8269525267993875,0.429355336114083,1.095445115010332,3366.6715220024344,3734.1640625,9544,5224,SSQ-FMT
sample_0447,1,shallow,uniform,sphere,sphere,1,0,0,0.9098688494094412,0.8346416382255382,0.9350028675206749,0.8860507246378876,0.0136420680209994,37.302395630277815,0.9982228547470706,0.2391661404680171,1.5748015748023625,3.244496244039374,,0.0523550724637681,0.0921761437245976,0.282842712474619,3359.814021998318,3735.1015625,5231,5520,SSQ-FMT
sample_0449,2,deep,uniform,sphere,sphere,1,0,0,0.7809661781914632,0.6406435688823103,0.6496709001579218,0.9787709497207,0.0283899810165166,30.93669804436141,0.9936957190340008,0.1836682799358185,10.14692071517266,7.491302676641715,,0.5065642458100559,0.2651073265932308,0.7211102550927979,3356.7790369997965,3734.6015625,10787,7160,SSQ-FMT
sample_0456,3,medium,uniform,ellipsoid+sphere,mixed_two_shape,1,1,0,0.644314338703355,0.4752682403436292,0.7677441719388441,0.5550751879702036,0.0454529784619808,26.848752487062537,0.9887243498630448,1.1026942991259534,2.734958866235469,1.2078361920113665,,0.2770050125313283,0.463261907047251,1.2000000000000002,3330.466423998587,3734.9765625,11539,15960,SSQ-FMT
sample_0458,1,deep,uniform,irregular,irregular,0,0,1,0.8835725677832034,0.791428571428922,0.9034919416732472,0.8645125757300083,0.0157700777053833,36.04332260828384,0.9978826831443944,0.1104499163479989,0.4898979485566356,2.8730629898873814,,0.0431430145033963,0.1130716024071093,0.3464101615137755,3412.896328001807,3735.3515625,5212,5447,SSQ-FMT
sample_0469,3,shallow,uniform,ellipsoid+sphere,mixed_two_shape,1,1,0,0.692207190121089,0.5292942313892818,0.6078010509957754,0.8038371182460808,0.0322587676346302,29.827044604364065,0.989737120502174,0.3236040665448006,15.556349186104049,2.190059473800348,,0.3225332811276429,0.3404325112845715,0.894427190999916,3303.183588999673,3734.1640625,13511,10216,SSQ-FMT
sample_0472,1,shallow,uniform,ellipsoid,ellipsoid,0,1,0,0.8790746582545198,0.7842401500939705,0.977823523907572,0.7984413202935525,0.0244196355342865,32.2452170488772,0.9956981560730084,0.1972848104922367,4.651881339845203,2.2531919152161937,,0.183450488997555,0.1686999447147491,0.4898979485566356,3347.9348299952107,3735.1015625,10687,13088,SSQ-FMT
sample_0473,3,medium,uniform,ellipsoid+irregular,mixed_two_shape,0,1,1,0.7592015968064834,0.6118653883278992,0.6805267301226076,0.8584454274624371,0.0329958349466323,29.63081759316044,0.9906609235723708,0.727455632617608,21.091230405075947,2.9776961040037686,,0.2614426288706328,0.2826468270206479,0.7306376828845045,3515.9454319946235,3734.6015625,13973,11077,SSQ-FMT
sample_0511,2,deep,uniform,ellipsoid+irregular,mixed_two_shape,0,1,1,0.7933257032710118,0.6574480830674346,0.7899472168908469,0.7967332123414437,0.025992888957262,31.70290846292687,0.9946352799614864,2.548678844421452,10.881176406988356,2.220031051035729,,0.0085904416212946,0.2106892036304209,0.4898979485566356,3358.75835200568,3734.9765625,8336,8265,SSQ-FMT
sample_0521,3,medium,uniform,ellipsoid+sphere,mixed_two_shape,1,1,0,0.8116117608686401,0.6829516938521935,0.7250853384399925,0.9215873015873846,0.0259824376553297,31.7064020532336,0.9934503019070708,0.3087995609718464,15.182885101323794,3.919937288011037,,0.271005291005291,0.2200952713854908,0.4898979485566356,3337.431389998528,3735.3515625,12011,9450,SSQ-FMT
